wkt_geom;gid;kodinspire;obiekt;nazwa;fop_id;gatunek;data_utwor;powierzchn;link
Point (22.15814466557189633 51.60699927678356147);54252;PL.ZIPOP.1393.PP.0616062.1420;drzewo;;81347;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1420
Point (22.15814131184309943 51.60704669333006223);54253;PL.ZIPOP.1393.PP.0616062.1420;drzewo;;81347;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1420
Point (22.15794679137540513 51.60768507694480434);54234;PL.ZIPOP.1393.PP.0616062.1420;drzewo;;81347;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1420
Point (22.15794532570854614 51.60763068224260053);54235;PL.ZIPOP.1393.PP.0616062.1420;drzewo;;81347;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1420
Point (22.15793542052513132 51.60778975275042768);54232;PL.ZIPOP.1393.PP.0616062.1420;drzewo;;81347;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1420
Point (22.15794065182560146 51.60773607746811109);54233;PL.ZIPOP.1393.PP.0616062.1420;drzewo;;81347;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1420
Point (22.15793759563363352 51.60789181447734819);54230;PL.ZIPOP.1393.PP.0616062.1420;drzewo;;81347;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1420
Point (22.15795967463272476 51.60784353386052459);54231;PL.ZIPOP.1393.PP.0616062.1420;drzewo;;81347;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1420
Point (22.15793138585972955 51.60801254660336213);54228;PL.ZIPOP.1393.PP.0616062.1420;drzewo;;81347;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1420
Point (22.15792992174489129 51.60795401306544505);54229;PL.ZIPOP.1393.PP.0616062.1420;drzewo;;81347;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1420
Point (22.15796037494784798 51.60708377597784136);54242;PL.ZIPOP.1393.PP.0616062.1420;drzewo;;81347;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1420
Point (22.15797878627293116 51.60704927012668719);54243;PL.ZIPOP.1393.PP.0616062.1420;drzewo;;81347;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1420
Point (22.15794177477200932 51.60728617808321417);54240;PL.ZIPOP.1393.PP.0616062.1420;drzewo;;81347;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1420
Point (22.15795227700186132 51.60723973872760695);54241;PL.ZIPOP.1393.PP.0616062.1420;drzewo;;81347;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1420
Point (22.15795398036485508 51.60741199275167901);54238;PL.ZIPOP.1393.PP.0616062.1420;drzewo;;81347;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1420
Point (22.1579537738003296 51.60734451793998545);54239;PL.ZIPOP.1393.PP.0616062.1420;drzewo;;81347;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1420
