wkt_geom;fid;protected;denotation;ref:gid;ref:INSPIRE;natural;name;species:pl;species;url:crfop
Point (12.33587620744203228 47.67420785629644087);4315;yes;natural_monument;69969;PL.ZIPOP.1393.PP.1210102.1527;tree;;brak danych;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210102.1527
Point (12.33587602650878701 47.67420729870286067);4292;yes;natural_monument;69944;PL.ZIPOP.1393.PP.1210102.1525;tree;;Lipa;Tilia sp.;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210102.1525
Point (12.33587619278027958 47.67420785578207187);4293;yes;natural_monument;69947;PL.ZIPOP.1393.PP.1210102.1527;tree;;brak danych;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210102.1527
Point (12.33587610143933411 47.67420717144856468);4294;yes;natural_monument;69946;PL.ZIPOP.1393.PP.1210102.1526;tree;;Lipa;Tilia sp.;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210102.1526
Point (12.33587619314590533 47.67420785499373181);4295;yes;natural_monument;69949;PL.ZIPOP.1393.PP.1210102.1527;tree;;brak danych;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210102.1527
Point (12.33587416316294672 47.67420452248205009);4288;yes;natural_monument;70234;PL.ZIPOP.1393.PP.1211023.1608;tree;;Lipa;Tilia sp.;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1211023.1608
Point (12.33587416303278594 47.67420452591756685);4289;yes;natural_monument;70237;PL.ZIPOP.1393.PP.1211023.1608;tree;;Lipa;Tilia sp.;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1211023.1608
Point (12.33587416318615126 47.67420452471498038);4290;yes;natural_monument;70236;PL.ZIPOP.1393.PP.1211023.1608;tree;;Lipa;Tilia sp.;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1211023.1608
Point (12.33587602577452813 47.67420730050436362);4291;yes;natural_monument;69945;PL.ZIPOP.1393.PP.1210102.1525;tree;;Lipa;Tilia sp.;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210102.1525
Point (12.3358761945774571 47.67420785291286478);4300;yes;natural_monument;69952;PL.ZIPOP.1393.PP.1210102.1527;tree;;brak danych;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210102.1527
Point (12.33587619384500123 47.67420784901665343);4301;yes;natural_monument;69955;PL.ZIPOP.1393.PP.1210102.1527;tree;;brak danych;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210102.1527
