wkt_geom;gid;kodinspire;obiekt;nazwa;fop_id;gatunek;data_utwor;powierzchn;link
Point (19.80248149470359564 50.01944157252334833);185505;PL.ZIPOP.1393.PP.1261011.1091;drzewo;;86549;Lipa drobnolistna - Tilia cordata;1987-06-09;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1261011.1091
Point (20.20269444444463502 50.40091670731878537);183895;PL.ZIPOP.1393.PP.1208072.2885;drzewo;Maciek;115506;brak danych;2016-12-14;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1208072.2885
Point (19.80277844294527867 50.01943170686372042);185507;PL.ZIPOP.1393.PP.1261011.1091;drzewo;;86549;Lipa drobnolistna - Tilia cordata;1987-06-09;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1261011.1091
Point (19.80243252500029172 50.01947588502683573);185506;PL.ZIPOP.1393.PP.1261011.1091;drzewo;;86549;Lipa drobnolistna - Tilia cordata;1987-06-09;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1261011.1091
Point (19.80301977834083971 50.01942210216878948);185509;PL.ZIPOP.1393.PP.1261011.1091;drzewo;;86549;Lipa drobnolistna - Tilia cordata;1987-06-09;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1261011.1091
Point (19.80297327937942953 50.01942206405884406);185508;PL.ZIPOP.1393.PP.1261011.1091;drzewo;;86549;Lipa drobnolistna - Tilia cordata;1987-06-09;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1261011.1091
Point (19.80313095980661231 50.01941566470372891);185511;PL.ZIPOP.1393.PP.1261011.1091;drzewo;;86549;Lipa drobnolistna - Tilia cordata;1987-06-09;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1261011.1091
Point (19.80306261273009838 50.01942009633890507);185510;PL.ZIPOP.1393.PP.1261011.1091;drzewo;;86549;Lipa drobnolistna - Tilia cordata;1987-06-09;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1261011.1091
Point (19.80349867159831945 50.01931498755141092);185513;PL.ZIPOP.1393.PP.1261011.1091;drzewo;;86549;Lipa drobnolistna - Tilia cordata;1987-06-09;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1261011.1091
Point (19.80319989997246211 50.01940493110956965);185512;PL.ZIPOP.1393.PP.1261011.1091;drzewo;;86549;Lipa drobnolistna - Tilia cordata;1987-06-09;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1261011.1091
Point (19.80374371852028403 50.0192756030514829);185515;PL.ZIPOP.1393.PP.1261011.1091;drzewo;;86549;Lipa drobnolistna - Tilia cordata;1987-06-09;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1261011.1091
Point (19.80370514494572021 50.0192593746389278);185514;PL.ZIPOP.1393.PP.1261011.1091;drzewo;;86549;Lipa drobnolistna - Tilia cordata;1987-06-09;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1261011.1091
Point (19.70140492941240495 49.95921316175310523);185529;PL.ZIPOP.1393.PP.1206113.572;drzewo;;85339;Dąb - Quercus sp.;1949-06-13;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206113.572
Point (19.70142227820545244 49.95914980841462949);185528;PL.ZIPOP.1393.PP.1206113.572;drzewo;;85339;Dąb - Quercus sp.;1949-06-13;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206113.572
Point (19.7011384608441027 49.95968639184776094);185532;PL.ZIPOP.1393.PP.1206113.572;drzewo;;85339;Dąb - Quercus sp.;1949-06-13;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206113.572
Point (19.70126749683000256 49.95921831119237311);185530;PL.ZIPOP.1393.PP.1206113.572;drzewo;;85339;Dąb - Quercus sp.;1949-06-13;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206113.572
Point (19.25702616432705838 49.88254711297416577);185539;PL.ZIPOP.1393.PP.1213043.2895;drzewo;;115560;;2017-02-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1213043.2895
Point (19.70112507904856969 49.95972524950571625);185533;PL.ZIPOP.1393.PP.1206113.572;drzewo;;85339;Dąb - Quercus sp.;1949-06-13;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206113.572
Point (19.21704041671906182 49.93126409185617831);185541;PL.ZIPOP.1393.PP.1213043.2893;drzewo;;115558;;2017-02-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1213043.2893
Point (19.21852720167697015 49.88175210563375117);185540;PL.ZIPOP.1393.PP.1213043.2894;drzewo;;115559;brak danych;2017-02-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1213043.2894
Point (19.2127709382865639 49.95334357593581132);185543;PL.ZIPOP.1393.PP.1213043.2891;drzewo;;115556;brak danych;2017-02-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1213043.2891
Point (19.2165976558338123 49.93121135992392112);185542;PL.ZIPOP.1393.PP.1213043.2892;drzewo;;115557;brak danych;2017-02-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1213043.2892
Point (19.21783665592021251 49.88526086007302496);185545;PL.ZIPOP.1393.PP.1213043.2889;drzewo;;115552;;2017-02-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1213043.2889
Point (19.2369125361811264 49.92170239147251465);185544;PL.ZIPOP.1393.PP.1213043.2890;drzewo;;115555;;2017-02-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1213043.2890
Point (19.19823359031422427 49.87347472573173945);185547;PL.ZIPOP.1393.PP.1213043.2886;drzewo;;115547;;2017-02-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1213043.2886
Point (19.21738830455343816 49.88551045811514228);185546;PL.ZIPOP.1393.PP.1213043.2888;drzewo;;115551;;2017-02-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1213043.2888
